!			G1			A			enclitic particle
!			G1			A			vulture, bird in general							
!			G1			A			vulture, bird in general							
!			G1			A			tread							
!			G1			At			striking-power							
!! V 4			G1-X1-N5-Z1			At			striking-power							
!! V			G1-X1-N5			At			moment, instant, time in general							
!! 8 V			G1-X1-Z5-N5			At			moment, instant, time							
!! V 4			G1-X1-N5-Z1			At			moment, instant, time in general							
!! L			G1-X1-F9			At			moment, instant, time in general							
!! L V !			G1-X1-F9-N5			At			moment, instant, time in general							
FV			F3-X1-N5			At			moment, instant, time in general							
1 !! L V			M17-G1-X1-F9-N5			At			moment, instant, time in general							
1 ! f! 8 U			M17-G1-D46-X1-Z5-N4			iAdt			dew, pouring rain, pestilence, affliction, influence							
1 f! U			M17-D46-X1-N4			iAdt			pouring rain							
U			N4			iAdt			dew							
1 ! f! 8 E 5			M17-G1-D46-X1-Z5-G37-Z2			iAdt			intruders							
1 ! f! 8 ~			M17-G1-D46-X1-Z5-N35A			iAdt			influence							
1 ! f! 8 !			M17-G1-D46-X1-Z5-V1			iAdt			net							
1 ! f! c h 4			M17-G1-D46-X1-N18-N23-Z1			iAdt			tract of land							
2 1 n			M18-M17-D54			ii			come, return							
1 K			M17-G43			iiw			welcome							
2 1 n K 7			M18-M17-D54-G43-Z4			iiw			welcome							
2 1 7 n g 1			M18-M17-Z4-D54-U33-M17			ii			welcome							
2 1 n 1 /! #			M18-M17-D54-G17-R4-X1-Q3			ii m Htp			come in peace, return safely							
1 2 1 nt			G17-M18-M17-D54-N35			m ii n			as the consequence of, as the outcome of							
2			M18			ii			come, return							
2 7 n			M18-Z4-D54			ii			come, return							
2 1 7 n			M18-M17-Z4-D54			ii			come, return							
2 1 1 n			M18-M17-M17-D54			ii			come, return							
2 1 1 ! E 5			M18-M17-M17-X1-G37-Z2			iyt			mishap, trouble, harm, wrong							
2 1 1 ! E			M18-M17-M17-X1-G37			iyt			mishap, trouble, harm, a wrong which is done							
2 1 1 ! n			M18-M17-M17-X1-D54			iyt			mishap, trouble, harm, a wrong which is done							
2 1 1 ! n E 5			M18-M17-M17-X1-D54-G37-Z2			iyt			mishap, trouble, harm, a wrong which is done							
[ 1 1			D35-M17-M17			ii			old negative particle							
1 \ w			M17-D36-O24A			ia			tomb mastaba							
1 \ w			M17-D36-O24A			ia			ascend, arise							
1 \ ~			M17-D36-N35A			iai			wash							
1 \ ~ `			M17-D36-N35A-D40			iai			wash, wash out an inscription etc							
1 \ K ~			M17-D36-G43-N35A			iaw			washing							
1 \ : ~ V			M17-D36-Z7-N35A-N5			iaw			breakfast							
6			D154			iaw r			breakfast							
1 \ K ~ M " 4 ` 4			M17-D36-G43-N35A-D21-X2-Z1- W22-Z1			iaw r			breakfast							
1 \ K ~ 6 " 4 ` 4			M17-D36-G43-N35A-D154-X2-Z1- W22-Z1			iaw r			breakfast							
